words,tf,idf,tfidf
eat,14.0,3.6635616461296463,51.289863045815046
new,12.0,4.189654742026425,50.2758569043171
somewhere,11.0,4.356708826689592,47.92379709358551
solo,11.0,4.356708826689592,47.92379709358551
like,11.0,4.356708826689592,47.92379709358551
dont,11.0,4.356708826689592,47.92379709358551
park,11.0,4.356708826689592,47.92379709358551
place,10.0,4.4520190064939165,44.52019006493917
light,10.0,4.4520190064939165,44.52019006493917
paris,9.0,4.557379522151743,41.01641569936569
mountain,9.0,4.557379522151743,41.01641569936569
much,9.0,4.557379522151743,41.01641569936569
live,9.0,4.4520190064939165,40.06817105844525
national,9.0,4.356708826689592,39.210379440206324
rome,8.0,4.675162557808126,37.40130046246501
swim,8.0,4.557379522151743,36.459036177213946
great,7.0,4.808693950432649,33.66085765302854
whatever,7.0,4.808693950432649,33.66085765302854
food,7.0,4.808693950432649,33.66085765302854
culture,7.0,4.808693950432649,33.66085765302854
grand,7.0,4.808693950432649,33.66085765302854
something,7.0,4.808693950432649,33.66085765302854
canyon,7.0,4.808693950432649,33.66085765302854
trip,7.0,4.675162557808126,32.72613790465688
city,7.0,4.557379522151743,31.901656655062204
climb,7.0,4.557379522151743,31.901656655062204
italy,6.0,4.962844630259907,29.777067781559442
iceland,6.0,4.962844630259907,29.777067781559442
venice,6.0,4.962844630259907,29.777067781559442
different,6.0,4.962844630259907,29.777067781559442
comfort,6.0,4.962844630259907,29.777067781559442
want,6.0,4.962844630259907,29.777067781559442
anywhere,6.0,4.962844630259907,29.777067781559442
fall,6.0,4.962844630259907,29.777067781559442
local,6.0,4.962844630259907,29.777067781559442
ocean,6.0,4.962844630259907,29.777067781559442
street,5.0,5.145166187053862,25.725830935269308
tokyo,5.0,5.145166187053862,25.725830935269308
language,5.0,5.145166187053862,25.725830935269308
pitch,5.0,5.145166187053862,25.725830935269308
another,5.0,5.145166187053862,25.725830935269308
possible,5.0,5.145166187053862,25.725830935269308
abroad,5.0,5.145166187053862,25.725830935269308
salary,5.0,5.145166187053862,25.725830935269308
least,5.0,5.145166187053862,25.725830935269308
love,5.0,5.145166187053862,25.725830935269308
night,5.0,5.145166187053862,25.725830935269308
take,5.0,5.145166187053862,25.725830935269308
zone,5.0,4.962844630259907,24.814223151299533
week,4.0,6.061456918928018,24.24582767571207
japan,5.0,4.808693950432649,24.043469752163247
africa,5.0,4.808693950432649,24.043469752163247
lake,4.0,5.3683097383680725,21.47323895347229
particular,4.0,5.3683097383680725,21.47323895347229
york,4.0,5.3683097383680725,21.47323895347229
australia,4.0,5.3683097383680725,21.47323895347229
vienna,4.0,5.3683097383680725,21.47323895347229
anger,4.0,5.3683097383680725,21.47323895347229
day,4.0,5.3683097383680725,21.47323895347229
everyone,4.0,5.3683097383680725,21.47323895347229
experience,4.0,5.3683097383680725,21.47323895347229
sunrise,4.0,5.3683097383680725,21.47323895347229
beach,4.0,5.3683097383680725,21.47323895347229
island,4.0,5.3683097383680725,21.47323895347229
foreign,4.0,5.145166187053862,20.580664748215447
speak,4.0,5.145166187053862,20.580664748215447
wild,4.0,4.808693950432649,19.234775801730603
sky,4.0,4.675162557808126,18.700650231232505
wat,4.0,4.557379522151743,18.229518088606973
try,4.0,4.4520190064939165,17.808076025975662
animal,3.0,5.655991810819852,16.967975432459554
think,3.0,5.655991810819852,16.967975432459554
spend,3.0,5.655991810819852,16.967975432459554
time,3.0,5.655991810819852,16.967975432459554
florence,3.0,5.655991810819852,16.967975432459554
wilderness,3.0,5.655991810819852,16.967975432459554
sharp,3.0,5.655991810819852,16.967975432459554
cappadocia,3.0,5.655991810819852,16.967975432459554
drive,3.0,5.655991810819852,16.967975432459554
zealand,3.0,5.655991810819852,16.967975432459554
swiss,3.0,5.655991810819852,16.967975432459554
greenland,3.0,5.655991810819852,16.967975432459554
outside,3.0,5.655991810819852,16.967975432459554
