words,tf,idf,tf-idf
culture,166.0,6.754604099487962,1121.2642805150017
new,222.0,4.356708826689592,967.1893595250892
food,78.0,5.655991810819852,441.1673612439485
world,79.0,4.356708826689592,344.17999730847777
adventure,54.0,4.675162557808126,252.4587781216388
people,47.0,5.3683097383680725,252.31055770329937
place,53.0,4.557379522151743,241.5411146740424
nature,31.0,6.754604099487962,209.39272708412685
life,31.0,6.754604099487962,209.39272708412685
history,28.0,6.754604099487962,189.12891478566291
curiosity,33.0,5.3683097383680725,177.1542213661464
experiencing,26.0,6.754604099487962,175.61970658668704
learning,24.0,6.061456918928018,145.47496605427241
exploration,21.0,6.754604099487962,141.84668608924719
freedom,14.0,6.754604099487962,94.56445739283147
getting,16.0,5.655991810819852,90.49586897311764
landscape,13.0,6.754604099487962,87.80985329334352
love,19.0,4.2696974496999625,81.12425154429927
learn,12.0,6.754604099487962,81.05524919385554
much,12.0,6.754604099487962,81.05524919385554
scenery,12.0,6.754604099487962,81.05524919385554
work,12.0,6.754604099487962,81.05524919385554
sight,19.0,4.189654742026425,79.60344009850208
home,11.0,5.655991810819852,62.215909919018365
country,11.0,5.655991810819852,62.215909919018365
get,9.0,6.754604099487962,60.791436895391655
something,9.0,6.754604099487962,60.791436895391655
meet,9.0,6.754604099487962,60.791436895391655
relaxation,8.0,6.754604099487962,54.0368327959037
escape,8.0,6.754604099487962,54.0368327959037
beautiful,15.0,3.5357282746197614,53.03592411929642
exploring,32.0,1.6486586255873816,52.75707601879621
art,8.0,6.061456918928018,48.49165535142414
natural,8.0,6.061456918928018,48.49165535142414
routine,8.0,6.061456918928018,48.49165535142414
wanderlust,8.0,6.061456918928018,48.49165535142414
want,13.0,3.7100816617645394,48.23106160293902
explore,13.0,3.5765502691400166,46.495153498820216
discovery,9.0,4.962844630259907,44.66560167233917
meeting,15.0,2.9259627029988677,43.889440544983
family,7.0,6.061456918928018,42.43019843249612
like,8.0,5.145166187053862,41.161329496430895
sense,6.0,6.754604099487962,40.52762459692777
good,6.0,6.754604099487962,40.52762459692777
friend,6.0,6.754604099487962,40.52762459692777
beauty,10.0,4.046553898385752,40.46553898385752
desire,9.0,4.4520190064939165,40.06817105844525
daily,8.0,4.675162557808126,37.40130046246501
away,10.0,3.7100816617645394,37.10081661764539
photography,9.0,4.046553898385752,36.418985085471775
eat,6.0,6.061456918928018,36.36874151356809
travel,6.0,6.061456918928018,36.36874151356809
city,6.0,6.061456918928018,36.36874151356809
everything,6.0,6.061456918928018,36.36874151356809
time,7.0,4.962844630259907,34.739912411819354
architecture,6.0,5.655991810819852,33.935950864919114
in,5.0,6.754604099487962,33.77302049743981
offer,5.0,6.754604099487962,33.77302049743981
trying,5.0,6.754604099487962,33.77302049743981
make,6.0,5.3683097383680725,32.20985843020843
interesting,6.0,5.3683097383680725,32.20985843020843
day,7.0,4.557379522151743,31.901656655062204
know,6.0,5.145166187053862,30.87099712232317
outside,6.0,4.675162557808126,28.05097534684876
perspective,4.0,6.754604099487962,27.01841639795185
person,4.0,6.754604099487962,27.01841639795185
