words,tf,idf,tf-idf
feeling,4.0,6.754604099487962,27.01841639795185
boredom,4.0,6.754604099487962,27.01841639795185
live,4.0,6.754604099487962,27.01841639795185
weather,4.0,6.754604099487962,27.01841639795185
relaxing,4.0,6.754604099487962,27.01841639795185
expanding,4.0,6.754604099487962,27.01841639795185
everyday,4.0,6.754604099487962,27.01841639795185
break,6.0,4.356708826689592,26.14025296013755
change,6.0,3.864232341591797,23.185394049550787
enjoy,4.0,5.655991810819852,22.62396724327941
mind,4.0,5.655991810819852,22.62396724327941
discovering,6.0,3.5765502691400166,21.4593016148401
can,4.0,5.145166187053862,20.580664748215447
living,3.0,6.754604099487962,20.263812298463886
discover,3.0,6.754604099487962,20.263812298463886
attraction,3.0,6.754604099487962,20.263812298463886
cultural,3.0,6.754604099487962,20.263812298463886
wanting,3.0,6.754604099487962,20.263812298463886
view,3.0,6.754604099487962,20.263812298463886
need,3.0,6.754604099487962,20.263812298463886
monotony,3.0,6.754604099487962,20.263812298463886
enjoyment,3.0,6.754604099487962,20.263812298463886
looking,3.0,6.754604099487962,20.263812298463886
visit,3.0,6.754604099487962,20.263812298463886
climate,3.0,6.754604099487962,20.263812298463886
taking,3.0,6.754604099487962,20.263812298463886
part,3.0,6.754604099487962,20.263812298463886
tourism,3.0,6.754604099487962,20.263812298463886
far,3.0,6.754604099487962,20.263812298463886
historical,3.0,6.754604099487962,20.263812298463886
possible,4.0,4.808693950432649,19.234775801730603
passion,4.0,4.808693950432649,19.234775801730603
others,3.0,6.061456918928018,18.184370756784045
landmarks,3.0,6.061456918928018,18.184370756784045
planet,3.0,6.061456918928018,18.184370756784045
comfort,3.0,6.061456918928018,18.184370756784045
great,3.0,6.061456918928018,18.184370756784045
interest,3.0,6.061456918928018,18.184370756784045
stuff,3.0,5.655991810819852,16.967975432459554
better,3.0,5.655991810819852,16.967975432459554
mostly,3.0,5.655991810819852,16.967975432459554
memory,5.0,3.353406717825807,16.767033589129035
escaping,3.0,5.3683097383680725,16.104929215104214
many,3.0,5.3683097383680725,16.104929215104214
growth,3.0,5.145166187053862,15.435498561161586
grow,3.0,5.145166187053862,15.435498561161586
drink,3.0,4.962844630259907,14.888533890779721
amazing,3.0,4.557379522151743,13.672138566455232
eating,2.0,6.754604099487962,13.509208198975925
free,2.0,6.754604099487962,13.509208198975925
visiting,2.0,6.754604099487962,13.509208198975925
knowledge,2.0,6.754604099487962,13.509208198975925
stress,2.0,6.754604099487962,13.509208198975925
feel,2.0,6.754604099487962,13.509208198975925
area,2.0,6.754604099487962,13.509208198975925
joy,2.0,6.754604099487962,13.509208198975925
museum,2.0,6.754604099487962,13.509208198975925
motivation,2.0,6.754604099487962,13.509208198975925
breaking,2.0,6.754604099487962,13.509208198975925
etc,2.0,6.754604099487962,13.509208198975925
traveling,2.0,6.754604099487962,13.509208198975925
open,2.0,6.754604099487962,13.509208198975925
addition,2.0,6.754604099487962,13.509208198975925
short,2.0,6.754604099487962,13.509208198975925
lifestyle,2.0,6.754604099487962,13.509208198975925
party,2.0,6.754604099487962,13.509208198975925
challenge,2.0,6.754604099487962,13.509208198975925
somewhere,2.0,6.754604099487962,13.509208198975925
anything,2.0,6.754604099487962,13.509208198975925
relax,2.0,6.754604099487962,13.509208198975925
wonder,2.0,6.754604099487962,13.509208198975925
adrenalin,2.0,6.754604099487962,13.509208198975925
knew,2.0,6.754604099487962,13.509208198975925
location,3.0,4.115546769872704,12.346640309618108
one,2.0,6.061456918928018,12.122913837856036
dont,2.0,6.061456918928018,12.122913837856036
reach,2.0,6.061456918928018,12.122913837856036
scene,2.0,6.061456918928018,12.122913837856036
warmer,2.0,6.061456918928018,12.122913837856036
every,5.0,2.385156247020941,11.925781235104704
quinine,2.0,5.655991810819852,11.311983621639705
ink,2.0,5.655991810819852,11.311983621639705
personal,2.0,5.655991810819852,11.311983621639705
foreign,2.0,5.3683097383680725,10.736619476736145
try,2.0,5.3683097383680725,10.736619476736145
horizon,2.0,5.3683097383680725,10.736619476736145
old,2.0,5.145166187053862,10.290332374107724
alive,2.0,4.962844630259907,9.925689260519814
zone,3.0,3.2888681966882367,9.866604590064707
site,2.0,4.808693950432649,9.617387900865298
way,2.0,4.808693950432649,9.617387900865298
guess,2.0,4.675162557808126,9.350325115616252
shit,2.0,4.675162557808126,9.350325115616252
worldview,2.0,4.557379522151743,9.114759044303486
anna,2.0,4.2696974496999625,8.539394899399923
wildlife,2.0,4.2696974496999625,8.539394899399923
happiness,2.0,4.115546769872704,8.231093539745407
inspiration,2.0,4.046553898385752,8.093107796771504
cool,2.0,3.921390755431746,7.842781510863492
especially,1.0,6.754604099487962,6.754604099487962
single,1.0,6.754604099487962,6.754604099487962
without,1.0,6.754604099487962,6.754604099487962
grind,1.0,6.754604099487962,6.754604099487962
vacation,1.0,6.754604099487962,6.754604099487962
prospect,1.0,6.754604099487962,6.754604099487962
necessarily,1.0,6.754604099487962,6.754604099487962
stranger,1.0,6.754604099487962,6.754604099487962
share,1.0,6.754604099487962,6.754604099487962
similarity,1.0,6.754604099487962,6.754604099487962
widening,1.0,6.754604099487962,6.754604099487962
happy,1.0,6.754604099487962,6.754604099487962
historyart,1.0,6.754604099487962,6.754604099487962
normal,1.0,6.754604099487962,6.754604099487962
liberating,1.0,6.754604099487962,6.754604099487962
boring,1.0,6.754604099487962,6.754604099487962
almost,1.0,6.754604099487962,6.754604099487962
delicious,1.0,6.754604099487962,6.754604099487962
shaking,1.0,6.754604099487962,6.754604099487962
year,1.0,6.754604099487962,6.754604099487962
provides,1.0,6.754604099487962,6.754604099487962
secluded,1.0,6.754604099487962,6.754604099487962
dramatically,1.0,6.754604099487962,6.754604099487962
rudimentary,1.0,6.754604099487962,6.754604099487962
think,1.0,6.754604099487962,6.754604099487962
spending,1.0,6.754604099487962,6.754604099487962
environment,1.0,6.754604099487962,6.754604099487962
street,1.0,6.754604099487962,6.754604099487962
nice,1.0,6.754604099487962,6.754604099487962
expand,1.0,6.754604099487962,6.754604099487962
lot,1.0,6.754604099487962,6.754604099487962
soccer,1.0,6.754604099487962,6.754604099487962
into,1.0,6.754604099487962,6.754604099487962
game,1.0,6.754604099487962,6.754604099487962
chance,1.0,6.754604099487962,6.754604099487962
mass,1.0,6.754604099487962,6.754604099487962
politics,1.0,6.754604099487962,6.754604099487962
greater,1.0,6.754604099487962,6.754604099487962
fresh,1.0,6.754604099487962,6.754604099487962
boilerplate,1.0,6.754604099487962,6.754604099487962
become,1.0,6.754604099487962,6.754604099487962
grumpy,1.0,6.754604099487962,6.754604099487962
smell,1.0,6.754604099487962,6.754604099487962
sound,1.0,6.754604099487962,6.754604099487962
taste,1.0,6.754604099487962,6.754604099487962
journey,1.0,6.754604099487962,6.754604099487962
venturing,1.0,6.754604099487962,6.754604099487962
understanding,1.0,6.754604099487962,6.754604099487962
including,1.0,6.754604099487962,6.754604099487962
foooood,1.0,6.754604099487962,6.754604099487962
expanded,1.0,6.754604099487962,6.754604099487962
historic,1.0,6.754604099487962,6.754604099487962
disconcerting,1.0,6.754604099487962,6.754604099487962
sport,1.0,6.754604099487962,6.754604099487962
recommendation,1.0,6.754604099487962,6.754604099487962
seeking,1.0,6.754604099487962,6.754604099487962
research,1.0,6.754604099487962,6.754604099487962
destination,1.0,6.754604099487962,6.754604099487962
bored,1.0,6.754604099487962,6.754604099487962
creating,1.0,6.754604099487962,6.754604099487962
language,1.0,6.754604099487962,6.754604099487962
music,1.0,6.754604099487962,6.754604099487962
woman,1.0,6.754604099487962,6.754604099487962
newness,1.0,6.754604099487962,6.754604099487962
bonus,1.0,6.754604099487962,6.754604099487962
snowboarding,1.0,6.754604099487962,6.754604099487962
beer,1.0,6.754604099487962,6.754604099487962
needed,1.0,6.754604099487962,6.754604099487962
viewpoint,1.0,6.754604099487962,6.754604099487962
thrill,1.0,6.754604099487962,6.754604099487962
rut,1.0,6.754604099487962,6.754604099487962
find,1.0,6.754604099487962,6.754604099487962
fear,1.0,6.754604099487962,6.754604099487962
killing,1.0,6.754604099487962,6.754604099487962
custom,1.0,6.754604099487962,6.754604099487962
sitting,1.0,6.754604099487962,6.754604099487962
long,1.0,6.754604099487962,6.754604099487962
cold,1.0,6.754604099487962,6.754604099487962
surrounding,1.0,6.754604099487962,6.754604099487962
fiance,1.0,6.754604099487962,6.754604099487962
another,1.0,6.754604099487962,6.754604099487962
reason,1.0,6.754604099487962,6.754604099487962
strong,1.0,6.754604099487962,6.754604099487962
insignificance,1.0,6.754604099487962,6.754604099487962
society,1.0,6.754604099487962,6.754604099487962
via,1.0,6.754604099487962,6.754604099487962
business,1.0,6.754604099487962,6.754604099487962
sea,1.0,6.754604099487962,6.754604099487962
general,1.0,6.754604099487962,6.754604099487962
wonderlust,1.0,6.754604099487962,6.754604099487962
adventurer,1.0,6.754604099487962,6.754604099487962
native,1.0,6.754604099487962,6.754604099487962
that,1.0,6.754604099487962,6.754604099487962
selffulfillment,1.0,6.754604099487962,6.754604099487962
mundane,1.0,6.754604099487962,6.754604099487962
kick,1.0,6.754604099487962,6.754604099487962
budget,1.0,6.754604099487962,6.754604099487962
photo,1.0,6.754604099487962,6.754604099487962
doesn,1.0,6.754604099487962,6.754604099487962
according,1.0,6.754604099487962,6.754604099487962
genetic,1.0,6.754604099487962,6.754604099487962
go,1.0,6.754604099487962,6.754604099487962
crazy,1.0,6.754604099487962,6.754604099487962
never,1.0,6.754604099487962,6.754604099487962
regardless,1.0,6.754604099487962,6.754604099487962
situation,1.0,6.754604099487962,6.754604099487962
would,1.0,6.754604099487962,6.754604099487962
lead,1.0,6.754604099487962,6.754604099487962
hata,1.0,6.754604099487962,6.754604099487962
interact,1.0,6.754604099487962,6.754604099487962
spirit,1.0,6.754604099487962,6.754604099487962
excitement,1.0,6.754604099487962,6.754604099487962
geocaching,1.0,6.754604099487962,6.754604099487962
heritage,1.0,6.754604099487962,6.754604099487962
endangering,1.0,6.754604099487962,6.754604099487962
animal,1.0,6.754604099487962,6.754604099487962
exchange,1.0,6.754604099487962,6.754604099487962
use,1.0,6.754604099487962,6.754604099487962
norm,1.0,6.754604099487962,6.754604099487962
industry,1.0,6.754604099487962,6.754604099487962
utilize,1.0,6.754604099487962,6.754604099487962
able,1.0,6.754604099487962,6.754604099487962
domo,1.0,6.754604099487962,6.754604099487962
read,1.0,6.754604099487962,6.754604099487962
question,1.0,6.754604099487962,6.754604099487962
opportunity,1.0,6.754604099487962,6.754604099487962
together,1.0,6.754604099487962,6.754604099487962
map,1.0,6.754604099487962,6.754604099487962
goose,1.0,6.754604099487962,6.754604099487962
ecosystems,1.0,6.754604099487962,6.754604099487962
landscapes,1.0,6.754604099487962,6.754604099487962
guy,1.0,6.754604099487962,6.754604099487962
biggest,1.0,6.754604099487962,6.754604099487962
girlfriend,1.0,6.754604099487962,6.754604099487962
hiding,1.0,6.754604099487962,6.754604099487962
kite,1.0,6.754604099487962,6.754604099487962
recreation,1.0,6.754604099487962,6.754604099487962
management,1.0,6.754604099487962,6.754604099487962
tour,1.0,6.754604099487962,6.754604099487962
understand,1.0,6.754604099487962,6.754604099487962
extreme,1.0,6.754604099487962,6.754604099487962
instagram,1.0,6.754604099487962,6.754604099487962
connecting,1.0,6.754604099487962,6.754604099487962
observing,1.0,6.754604099487962,6.754604099487962
cheap,1.0,6.754604099487962,6.754604099487962
road,1.0,6.754604099487962,6.754604099487962
leisure,1.0,6.754604099487962,6.754604099487962
design,1.0,6.754604099487962,6.754604099487962
primary,1.0,6.754604099487962,6.754604099487962
source,1.0,6.754604099487962,6.754604099487962
big,1.0,6.754604099487962,6.754604099487962
what,1.0,6.754604099487962,6.754604099487962
put,1.0,6.754604099487962,6.754604099487962
stay,1.0,6.754604099487962,6.754604099487962
type,1.0,6.754604099487962,6.754604099487962
immediate,1.0,6.754604099487962,6.754604099487962
reliable,1.0,6.754604099487962,6.754604099487962
intensity,1.0,6.754604099487962,6.754604099487962
suddenly,1.0,6.754604099487962,6.754604099487962
exposure,1.0,6.754604099487962,6.754604099487962
high,1.0,6.754604099487962,6.754604099487962
relaxrecharge,1.0,6.754604099487962,6.754604099487962
surroundings,1.0,6.754604099487962,6.754604099487962
face,1.0,6.754604099487962,6.754604099487962
beyond,1.0,6.754604099487962,6.754604099487962
even,1.0,6.754604099487962,6.754604099487962
five,1.0,6.754604099487962,6.754604099487962
square,1.0,6.754604099487962,6.754604099487962
hooked,1.0,6.754604099487962,6.754604099487962
exhilarating,1.0,6.754604099487962,6.754604099487962
india,1.0,6.754604099487962,6.754604099487962
excites,1.0,6.754604099487962,6.754604099487962
got,1.0,6.754604099487962,6.754604099487962
childlike,1.0,6.754604099487962,6.754604099487962
moving,1.0,6.754604099487962,6.754604099487962
becomes,1.0,6.754604099487962,6.754604099487962
ignorant,1.0,6.754604099487962,6.754604099487962
ignorance,1.0,6.061456918928018,6.061456918928018
longing,1.0,6.061456918928018,6.061456918928018
used,1.0,6.061456918928018,6.061456918928018
point,1.0,6.061456918928018,6.061456918928018
also,1.0,6.061456918928018,6.061456918928018
winter,1.0,6.061456918928018,6.061456918928018
education,1.0,6.061456918928018,6.061456918928018
fortunate,1.0,6.061456918928018,6.061456918928018
enjoyable,1.0,6.061456918928018,6.061456918928018
always,1.0,6.061456918928018,6.061456918928018
whole,1.0,6.061456918928018,6.061456918928018
hill,1.0,6.061456918928018,6.061456918928018
there,1.0,6.061456918928018,6.061456918928018
secret,1.0,6.061456918928018,6.061456918928018
absurdity,1.0,6.061456918928018,6.061456918928018
context,1.0,6.061456918928018,6.061456918928018
trip,1.0,6.061456918928018,6.061456918928018
relief,1.0,6.061456918928018,6.061456918928018
ardor,1.0,6.061456918928018,6.061456918928018
lived,1.0,6.061456918928018,6.061456918928018
nostalgia,1.0,6.061456918928018,6.061456918928018
unique,1.0,6.061456918928018,6.061456918928018
changing,1.0,6.061456918928018,6.061456918928018
fulfillment,1.0,6.061456918928018,6.061456918928018
geological,1.0,6.061456918928018,6.061456918928018
story,1.0,6.061456918928018,6.061456918928018
searching,1.0,6.061456918928018,6.061456918928018
relic,1.0,6.061456918928018,6.061456918928018
look,1.0,6.061456918928018,6.061456918928018
sheer,1.0,5.655991810819852,5.655991810819852
plus,1.0,5.655991810819852,5.655991810819852
promotes,1.0,5.655991810819852,5.655991810819852
cheaper,1.0,5.655991810819852,5.655991810819852
pleasure,1.0,5.655991810819852,5.655991810819852
pretty,1.0,5.655991810819852,5.655991810819852
immersing,1.0,5.655991810819852,5.655991810819852
enough,1.0,5.655991810819852,5.655991810819852
wouldn,1.0,5.655991810819852,5.655991810819852
sighted,1.0,5.655991810819852,5.655991810819852
picture,1.0,5.655991810819852,5.655991810819852
monument,1.0,5.655991810819852,5.655991810819852
youngest,1.0,5.655991810819852,5.655991810819852
educate,1.0,5.655991810819852,5.655991810819852
activity,1.0,5.655991810819852,5.655991810819852
takefind,1.0,5.655991810819852,5.655991810819852
completely,1.0,5.655991810819852,5.655991810819852
truly,1.0,5.655991810819852,5.655991810819852
husband,2.0,2.7472709142554907,5.4945418285109815
yes,1.0,5.3683097383680725,5.3683097383680725
water,1.0,5.3683097383680725,5.3683097383680725
hate,1.0,5.3683097383680725,5.3683097383680725
u,1.0,5.3683097383680725,5.3683097383680725
opening,1.0,5.3683097383680725,5.3683097383680725
discount,1.0,5.3683097383680725,5.3683097383680725
wanderlusy,1.0,5.3683097383680725,5.3683097383680725
exciting,1.0,5.145166187053862,5.145166187053862
lifetime,1.0,5.145166187053862,5.145166187053862
monotonous,1.0,5.145166187053862,5.145166187053862
differ,1.0,4.962844630259907,4.962844630259907
sightseeing,1.0,4.962844630259907,4.962844630259907
or,1.0,4.962844630259907,4.962844630259907
wide,1.0,4.962844630259907,4.962844630259907
religion,1.0,4.962844630259907,4.962844630259907
cross,1.0,4.962844630259907,4.962844630259907
usual,1.0,4.962844630259907,4.962844630259907
student,1.0,4.962844630259907,4.962844630259907
series,1.0,4.962844630259907,4.962844630259907
reference,1.0,4.808693950432649,4.808693950432649
little,1.0,4.808693950432649,4.808693950432649
wonderment,1.0,4.675162557808126,4.675162557808126
diving,1.0,4.675162557808126,4.675162557808126
being,1.0,4.675162557808126,4.675162557808126
soulmate,1.0,4.675162557808126,4.675162557808126
motivate,1.0,4.557379522151743,4.557379522151743
enjoying,1.0,4.557379522151743,4.557379522151743
across,1.0,4.557379522151743,4.557379522151743
goal,1.0,4.557379522151743,4.557379522151743
small,1.0,4.4520190064939165,4.4520190064939165
low,1.0,4.4520190064939165,4.4520190064939165
science,1.0,4.4520190064939165,4.4520190064939165
continent,1.0,4.356708826689592,4.356708826689592
variety,1.0,4.189654742026425,4.189654742026425
guide,1.0,4.189654742026425,4.189654742026425
broadening,1.0,4.189654742026425,4.189654742026425
vice,1.0,4.115546769872704,4.115546769872704
else,1.0,4.046553898385752,4.046553898385752
well,1.0,3.982015377248181,3.982015377248181
ohio,1.0,3.982015377248181,3.982015377248181
humanity,1.0,3.864232341591797,3.864232341591797
nothing,1.0,3.864232341591797,3.864232341591797
unknown,1.0,3.49650756146648,3.49650756146648
communicating,1.0,3.387308269501488,3.387308269501488
tell,1.0,3.353406717825807,3.353406717825807
rush,1.0,3.258096538021482,3.258096538021482
existence,1.0,3.199256037998549,3.199256037998549
treasure,1.0,3.1710851610318525,3.1710851610318525
around,2.0,1.4218853062225931,2.8437706124451863
the,1.0,2.7843121859358404,2.7843121859358404
swimming,1.0,2.3978952727983707,2.3978952727983707
aspect,1.0,1.4919139105830768,1.4919139105830768
making,1.0,1.46129927476347,1.46129927476347
hit,1.0,0.8938178760220965,0.8938178760220965
accustomed,1.0,,
,,5.655991810819852,
